league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions
ENG-Premier League,1718,2017-10-28 Watford-Stoke,1,2017,7216,2017-10-28 15:00:00,90,85,Watford,Stoke,STO,WAT,3,1.0463,1,0.778883,0.778883,-0.35559699999999994,32.77777777777778,4,0,1.6319,0,1.13448,1.13448,0.35559699999999994,6.333333333333333,13
ENG-Premier League,1718,2017-10-28 West Bromwich Albion-Manchester City,1,2017,7215,2017-10-28 15:00:00,76,88,West Bromwich Albion,Manchester City,MCI,WBA,3,2.5583,3,2.77085,2.77085,1.6523299999999999,4.275862068965517,17,0,0.30110000000000003,2,1.11852,1.11852,-1.6523299999999999,21.695652173913043,1
ENG-Premier League,1718,2017-10-29 Brighton-Southampton,1,2017,7211,2017-10-29 13:30:00,220,74,Brighton,Southampton,SOU,BRI,1,0.48219999999999996,1,0.54364,0.54364,-0.96169,11.16,5,1,2.2816,1,1.50533,1.50533,0.96169,16.58823529411765,5
ENG-Premier League,1718,2017-10-29 Leicester-Everton,1,2017,7214,2017-10-29 16:00:00,75,72,Leicester,Everton,EVE,LEI,0,0.6357999999999999,0,0.575236,0.575236,-0.792444,4.878787878787879,5,3,2.1025,2,1.36768,1.36768,0.792444,19.454545454545453,4
ENG-Premier League,1718,2017-10-30 Burnley-Newcastle United,1,2017,7212,2017-10-30 20:00:00,92,86,Burnley,Newcastle United,NEW,BUR,0,0.8146,0,0.516369,0.516369,-0.5107309999999999,11.85,5,3,1.8477999999999999,1,1.0271,1.0271,0.5107309999999999,14.85,6
ENG-Premier League,1718,2017-11-04 Huddersfield-West Bromwich Albion,1,2017,7221,2017-11-04 15:00:00,219,76,Huddersfield,West Bromwich Albion,WBA,HUD,0,1.3411,0,0.382005,0.382005,0.12156899999999998,13.333333333333334,2,3,1.0774,1,0.260436,0.260436,-0.12156899999999998,12.3,0
ENG-Premier League,1718,2017-11-04 Newcastle United-Bournemouth,1,2017,7222,2017-11-04 15:00:00,86,73,Newcastle United,Bournemouth,BOU,NEW,3,1.8820000000000001,1,1.28703,1.28703,0.6109389999999999,9.947368421052632,12,0,0.8263,0,0.676091,0.676091,-0.6109389999999999,8.904761904761905,4
ENG-Premier League,1718,2017-11-04 Southampton-Burnley,1,2017,7223,2017-11-04 15:00:00,74,92,Southampton,Burnley,BUR,SOU,3,0.6065,1,0.137743,0.137743,-0.651516,37.625,2,0,1.9682,0,0.789259,0.789259,0.651516,7.85,7
ENG-Premier League,1718,2017-11-04 Stoke-Leicester,1,2017,7224,2017-11-04 12:30:00,85,75,Stoke,Leicester,LEI,STO,1,1.4755000000000003,2,1.39563,1.39563,0.16574999999999984,12.357142857142858,4,1,1.2475,2,1.22988,1.22988,-0.16574999999999984,11.952380952380953,7
ENG-Premier League,1718,2017-11-04 Swansea-Brighton,1,2017,7225,2017-11-04 15:00:00,84,220,Swansea,Brighton,BRI,SWA,3,0.974,1,0.874927,0.874927,-0.37064300000000006,18.928571428571427,0,0,1.6679,0,1.24557,1.24557,0.37064300000000006,9.95,8
ENG-Premier League,1718,2017-11-04 West Ham-Liverpool,1,2017,7227,2017-11-04 17:30:00,81,87,West Ham,Liverpool,LIV,WHU,3,2.5121,4,2.8773,2.8773,1.74685,8.586206896551724,8,0,0.3473,1,1.13045,1.13045,-1.74685,16.27777777777778,2
ENG-Premier League,1718,2017-11-05 Chelsea-Manchester United,1,2017,7219,2017-11-05 16:30:00,80,89,Chelsea,Manchester United,MUN,CHE,0,0.5867,0,0.773586,0.773586,-1.068114,6.424242424242424,5,3,2.1845000000000003,1,1.8417,1.8417,1.068114,5.827586206896552,7
ENG-Premier League,1718,2017-11-05 Everton-Watford,1,2017,7220,2017-11-05 16:30:00,72,90,Everton,Watford,WAT,EVE,0,0.9804999999999999,2,2.05534,1.29417,-0.52426,9.23076923076923,6,3,1.7572,3,2.5796,1.81843,0.52426,7.275862068965517,7
ENG-Premier League,1718,2017-11-05 Manchester City-Arsenal,1,2017,7228,2017-11-05 14:15:00,88,83,Manchester City,Arsenal,ARS,MCI,0,0.163,1,0.340407,0.340407,-1.0487030000000002,11.71875,1,3,2.7409,3,2.15028,1.38911,1.0487030000000002,8.233333333333333,10
ENG-Premier League,1718,2017-11-05 Tottenham-Crystal Palace,1,2017,7226,2017-11-05 12:00:00,82,78,Tottenham,Crystal Palace,CRY,TOT,0,1.4325999999999999,0,1.10222,1.10222,0.11040700000000003,19.176470588235293,2,3,1.2478,1,0.991813,0.991813,-0.11040700000000003,5.478260869565218,8
ENG-Premier League,1718,2017-11-18 Arsenal-Tottenham,1,2017,7236,2017-11-18 12:30:00,83,82,Arsenal,Tottenham,TOT,ARS,0,0.32489999999999997,0,0.591192,0.591192,-1.651268,8.863636363636363,9,3,2.5286999999999997,2,2.24246,2.24246,1.651268,9.586206896551724,11
ENG-Premier League,1718,2017-11-18 Bournemouth-Huddersfield,1,2017,7237,2017-11-18 15:00:00,73,219,Bournemouth,Huddersfield,HUD,BOU,0,1.1729,0,1.1633,1.1633,-0.22452000000000005,6.176470588235294,9,3,1.5512,4,1.38782,1.38782,0.22452000000000005,19.357142857142858,4
ENG-Premier League,1718,2017-11-18 Burnley-Swansea,1,2017,7233,2017-11-18 15:00:00,92,84,Burnley,Swansea,SWA,BUR,0,0.4597,0,0.431402,0.431402,-1.111298,8.8125,3,3,2.3122,2,1.5427,1.5427,1.111298,11.91304347826087,7
ENG-Premier League,1718,2017-11-18 Crystal Palace-Everton,1,2017,7234,2017-11-18 15:00:00,78,72,Crystal Palace,Everton,EVE,CRY,1,1.0928,2,1.68728,0.926114,-1.103716,8.117647058823529,4,1,1.6367,2,2.02983,2.02983,1.103716,5.722222222222222,9
ENG-Premier League,1718,2017-11-18 Leicester-Manchester City,1,2017,7235,2017-11-18 15:00:00,75,88,Leicester,Manchester City,MCI,LEI,3,2.9136,2,2.40056,2.40056,2.3035143000000002,5.88,18,0,0.0462,0,0.0970457,0.0970457,-2.3035143000000002,27.055555555555557,1
ENG-Premier League,1718,2017-11-18 Liverpool-Southampton,1,2017,7231,2017-11-18 15:00:00,87,74,Liverpool,Southampton,SOU,LIV,0,0.36970000000000003,0,0.563886,0.563886,-1.4988839999999999,11.25,3,3,2.4604,3,2.06277,2.06277,1.4988839999999999,8.65,12
ENG-Premier League,1718,2017-11-18 Manchester United-Newcastle United,1,2017,7232,2017-11-18 17:30:00,89,86,Manchester United,Newcastle United,NEW,MUN,0,0.4508,1,1.08708,1.08708,-1.48716,21.625,6,3,2.3798,4,2.57424,2.57424,1.48716,9.6,14
ENG-Premier League,1718,2017-11-18 West Bromwich Albion-Chelsea,1,2017,7229,2017-11-18 15:00:00,76,80,West Bromwich Albion,Chelsea,CHE,WBA,3,2.2855000000000003,4,1.71709,1.71709,1.1264349999999999,9.125,3,0,0.4918,0,0.590655,0.590655,-1.1264349999999999,15.958333333333334,6
ENG-Premier League,1718,2017-11-19 Watford-West Ham,1,2017,7230,2017-11-19 16:00:00,90,81,Watford,West Ham,WHU,WAT,0,1.5750000000000002,0,1.43369,1.43369,0.18821999999999983,15.210526315789474,3,3,1.1397,2,1.24547,1.24547,-0.18821999999999983,9.52,12
ENG-Premier League,1718,2017-11-20 Brighton-Stoke,1,2017,7238,2017-11-20 20:00:00,220,85,Brighton,Stoke,STO,BRI,1,2.0303,2,1.20507,1.20507,0.7150120000000001,24.363636363636363,6,1,0.6764,2,0.490058,0.490058,-0.7150120000000001,7.928571428571429,3
ENG-Premier League,1718,2017-11-24 West Ham-Leicester,1,2017,7247,2017-11-24 20:00:00,81,75,West Ham,Leicester,LEI,WHU,1,0.9710000000000001,1,0.453851,0.453851,-0.321446,7.3478260869565215,1,1,1.6274,1,0.775297,0.775297,0.321446,11.545454545454545,4
ENG-Premier League,1718,2017-11-25 Crystal Palace-Stoke,1,2017,7246,2017-11-25 15:00:00,78,85,Crystal Palace,Stoke,STO,CRY,0,0.6285000000000001,1,0.628292,0.628292,-0.855098,12.15,3,3,2.1162,2,1.48339,1.48339,0.855098,8.782608695652174,8
ENG-Premier League,1718,2017-11-25 Liverpool-Chelsea,1,2017,7244,2017-11-25 17:30:00,87,80,Liverpool,Chelsea,CHE,LIV,1,0.7632000000000001,1,0.739983,0.739983,-0.763697,22.5,9,1,1.9700999999999997,1,1.50368,1.50368,0.763697,11.692307692307692,13
ENG-Premier League,1718,2017-11-25 Manchester United-Brighton,1,2017,7243,2017-11-25 15:00:00,89,220,Manchester United,Brighton,BRI,MUN,0,0.5075000000000001,0,0.565072,0.565072,-0.9364079999999999,14.894736842105264,5,3,2.2484,1,1.50148,1.50148,0.9364079999999999,11.666666666666666,7
ENG-Premier League,1718,2017-11-25 Newcastle United-Watford,1,2017,7242,2017-11-25 15:00:00,86,90,Newcastle United,Watford,WAT,NEW,3,2.2603,3,2.05844,2.05844,1.19842,9.071428571428571,7,0,0.538,0,0.86002,0.86002,-1.19842,9.48,10
