league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ENG-Premier League,2122,Brighton,Pascal Groß,1,2021,220,239,D F M S,29,2044,2,2.865339705720544,2,2.104170685634017,4,5.7902722135186195,23,60,1,0,9.946591524407268,5.546557137742639
ENG-Premier League,2122,Brighton,Robert Sánchez,1,2021,220,9098,GK,37,3330,0,0.0,0,0.0,0,0.6362469159066677,0,3,3,1,5.044877408072352,4.756718395277858
ENG-Premier League,2122,Brighton,Shane Duffy,1,2021,220,6047,D S,18,1432,1,0.9077040944248438,1,0.9077040944248438,0,0.10300940088927746,22,4,7,0,3.5175382625311613,3.4393277764320374
ENG-Premier League,2122,Brighton,Solly March,1,2021,220,6049,D F M S,31,1723,0,1.4529976956546307,0,1.4529976956546307,2,2.9942420180886984,21,34,1,0,7.240960534662008,4.095688569359481
ENG-Premier League,2122,Brighton,Steven Alzate,1,2021,220,8020,M S,9,410,0,0.081243596971035,0,0.081243596971035,0,0.14678999781608582,1,2,0,0,0.919185608625412,0.919185608625412
ENG-Premier League,2122,Brighton,Tariq Lamptey,1,2021,220,8226,D F M S,30,1543,0,0.9944676943123341,0,0.9944676943123341,2,2.8592303851619363,19,21,4,0,5.926399769261479,3.0341785084456205
ENG-Premier League,2122,Brighton,Taylor Richards,1,2021,220,9735,S,2,17,0,0.02142450027167797,0,0.02142450027167797,0,0.007314530201256275,1,1,0,0,0.1937687061727047,0.16502970084547997
ENG-Premier League,2122,Brighton,Yves Bissouma,1,2021,220,5609,M S,26,2134,1,1.0501238442957401,1,1.0501238442957401,2,0.844827288761735,21,8,10,0,8.46087761502713,6.945664497092366
ENG-Premier League,2122,Burnley,Aaron Lennon,1,2021,92,593,F M S,28,1538,2,1.0376689522527158,2,1.0376689522527158,0,0.4255148032680154,12,9,2,0,3.1641288422979414,1.9789244886487722
ENG-Premier League,2122,Burnley,Ashley Barnes,1,2021,92,4422,F S,23,787,1,1.6827674992382526,0,0.9215991050004959,0,0.9943248145282269,16,8,4,0,2.78278773650527,0.942340818233788
ENG-Premier League,2122,Burnley,Ashley Westwood,1,2021,92,669,M S,27,2292,0,0.49028640054166317,0,0.49028640054166317,3,4.257005825638771,14,32,7,0,5.9895529337227345,4.206027475185692
ENG-Premier League,2122,Burnley,Ben Mee,1,2021,92,1654,D,21,1839,3,2.561094556003809,3,2.561094556003809,0,1.2749730832874775,19,5,3,0,2.5687000900506973,2.479991593398154
ENG-Premier League,2122,Burnley,Charlie Taylor,1,2021,92,6044,D S,31,2729,0,0.193946810439229,0,0.193946810439229,3,3.4197498923167586,7,20,3,0,6.872189286164939,4.554764634929597
ENG-Premier League,2122,Burnley,Chris Wood,1,2021,92,4456,F S,34,2734,5,8.213475201278925,4,7.452306184917688,0,1.3659999808296561,51,19,1,0,8.77231390029192,2.923789992928505
ENG-Premier League,2122,Burnley,Connor Roberts,1,2021,92,5568,D S,21,1686,1,0.2225561048835516,1,0.2225561048835516,1,1.1593199241906404,6,13,2,0,3.6431610444560647,2.413885143585503
ENG-Premier League,2122,Burnley,Dale Stephens,1,2021,92,6051,M S,3,121,0,0.04461440071463585,0,0.04461440071463585,0,0.017272500321269035,1,1,1,0,0.061886899173259735,0.0
ENG-Premier League,2122,Burnley,Dwight McNeil,1,2021,92,6756,M S,38,3130,0,2.4431664869189262,0,2.4431664869189262,1,5.014778325334191,52,47,1,0,10.09029270336032,4.545858952216804
ENG-Premier League,2122,Burnley,Erik Pieters,1,2021,92,887,D S,12,722,0,0.1498642023652792,0,0.1498642023652792,1,0.7618360780179501,7,2,1,0,2.1208457928150892,1.256538325920701
ENG-Premier League,2122,Burnley,Jack Cork,1,2021,92,712,M,20,1689,1,0.7342861033976078,1,0.7342861033976078,0,0.1921836994588375,7,6,4,0,3.6798261487856507,3.4212030777707696
ENG-Premier League,2122,Burnley,James Tarkowski,1,2021,92,1665,D,35,3108,1,2.987051802687347,1,2.987051802687347,2,0.48769210651516914,22,10,11,0,5.56948065944016,5.258061533793807
ENG-Premier League,2122,Burnley,Jay Rodriguez,1,2021,92,844,F M S,29,1356,2,4.855192940682173,2,4.855192940682173,2,1.9018799848854542,41,12,3,0,5.373036352917552,1.0446629952639341
ENG-Premier League,2122,Burnley,Johann Berg Gudmundsson,1,2021,92,1663,M S,18,1110,0,1.690343969501555,0,1.690343969501555,1,0.6487747821956873,19,6,2,0,2.9044559374451637,1.3834909815341234
ENG-Premier League,2122,Burnley,Josh Brownhill,1,2021,92,8323,F M S,35,2953,2,1.2014812054112554,2,1.2014812054112554,3,2.353918094187975,29,40,10,0,5.99081162083894,4.411198206245899
ENG-Premier League,2122,Burnley,Kevin Long,1,2021,92,1747,D S,6,406,0,0.1382613042369485,0,0.1382613042369485,0,0.0,4,0,1,0,0.3228092873468995,0.3228092873468995
ENG-Premier League,2122,Burnley,Matej Vydra,1,2021,92,1017,F S,22,634,2,1.9705587178468704,2,1.9705587178468704,3,0.752324708737433,19,6,1,0,2.7295806063339114,0.25644810125231743
