player_name,team,position,games,time,goals,assists,shots,key_passes,xG,xA,xG90,xA90,xGChain,xGBuildup,npg,npxG,season
Luke Ayling,Leeds,D S,29,2030,2,1,24,12,2.712577499449253,1.8191682416945696,0.0,0.0,7.104759126901627,4.520665276795626,2,2.712577499449253,2022
Pascal Struijk,Leeds,D S,29,2217,2,1,16,13,1.3350814320147038,2.1753706987947226,0.0,0.0,5.012533586472273,3.33086527697742,2,1.3350814320147038,2022
Emmanuel Dennis,Nottingham Forest,F M S,19,705,2,2,21,7,1.5486181434243917,0.5363962892442942,0.0,0.0,2.086062991991639,0.9663639571517706,2,1.5486181434243917,2022
Fabio Carvalho,Liverpool,F M S,13,330,2,0,11,1,1.1579107120633125,0.10462799668312073,0.0,0.0,1.4301361963152885,0.7474121823906898,2,1.1579107120633125,2022
Kamaldeen Sulemana,Southampton,F M S,18,950,2,1,25,14,1.679018633440137,1.4270181329920888,0.0,0.0,3.4539370611310005,0.6344611132517457,2,1.679018633440137,2022
Kiernan Dewsbury-Hall,Leicester,F M S,31,2334,2,2,26,39,1.8549880683422089,3.0710923951119184,0.0,0.0,9.722595304250717,5.314303573220968,2,1.8549880683422089,2022
Matias Viña,Bournemouth,D S,12,453,2,0,9,2,0.7529756985604763,0.15791365504264832,0.0,0.0,1.6716434881091118,0.9714840985834599,2,0.7529756985604763,2022
Michael Olise,Crystal Palace,F M S,37,2774,2,11,51,72,2.659285433590412,7.174625148996711,0.0,0.0,8.7775584384799,3.4045963063836098,2,2.659285433590412,2022
Joe Ayodele-Aribo,Southampton,F M S,21,1224,2,0,14,9,2.054455615580082,0.9876715950667858,0.0,0.0,3.7902291137725115,0.947960801422596,2,2.054455615580082,2022
Marcos Senesi,Bournemouth,D S,31,2508,2,0,8,5,2.0692426282912493,0.5055976919829845,0.0,0.0,4.307535422034562,3.9094908265396953,2,2.0692426282912493,2022
Wilfried Gnonto,Leeds,F M S,24,1344,2,4,22,22,1.833498403429985,2.921407464891672,0.0,0.0,5.2303190268576145,1.9364304393529892,2,1.833498403429985,2022
Fabian Schär,Newcastle United,D,36,3223,1,3,56,19,5.092751467600465,2.4296507444232702,0.0,0.0,10.184462796896696,8.898998957127333,1,5.092751467600465,2022
Allan Saint-Maximin,Newcastle United,F S,25,1101,1,5,28,31,1.6111805494874716,4.724137527868152,0.0,0.0,8.289438785985112,3.2378203477710485,1,1.6111805494874716,2022
Pierre-Emerick Aubameyang,Chelsea,F S,15,542,1,0,16,4,2.122752519324422,0.3434317037463188,0.0,0.0,2.808082729578018,0.5031093060970306,1,2.122752519324422,2022
Joel Matip,Liverpool,D S,14,1095,1,0,5,4,0.6459370153024793,0.3237086497247219,0.0,0.0,5.542334942147136,5.465866832062602,1,0.6459370153024793,2022
Ivan Perisic,Tottenham,D F S,34,2107,1,8,29,48,3.0171149894595146,6.623175095766783,0.0,0.0,9.894330563023686,6.034054983407259,1,3.0171149894595146,2022
Philippe Coutinho,Aston Villa,F M S,20,750,1,0,21,8,1.3861289341002703,0.3858625032007694,0.0,0.0,2.819877240806818,1.439754718914628,1,1.3861289341002703,2022
Joel Ward,Crystal Palace,D S,28,2251,1,0,7,10,1.4655719939619303,0.3378884494304657,0.0,0.0,3.9748681094497442,3.709601128473878,1,1.4655719939619303,2022
James Tomkins,Crystal Palace,D S,6,340,1,0,3,0,0.7290570810437202,0.0,0.0,0.0,0.10638929903507233,0.06696999818086624,1,0.7290570810437202,2022
Cheikhou Kouyaté,Nottingham Forest,D M S,21,871,1,0,6,8,0.18670253828167915,0.9933399967849255,0.0,0.0,2.0716649424284697,1.7446327153593302,1,0.18670253828167915,2022
Manuel Lanzini,West Ham,M S,10,230,1,0,3,1,0.6443301560357213,0.33710601925849915,0.0,0.0,1.1725098555907607,0.19107365049421787,1,0.6443301560357213,2022
