join_key,league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url,home_team_shortened
2022-04-24_Burnley,ENG-Premier League,2122,2022-04-24 Burnley-Wolverhampton Wanderers,1,2021,16712,2022-04-24,92,229,Burnley,Wolverhampton Wanderers,WOL,BUR,1,0,1.27298,0.592902,True,True,https://understat.com/match/16712,Burnley
2022-04-24_Chelsea,ENG-Premier League,2122,2022-04-24 Chelsea-West Ham,1,2021,16711,2022-04-24,80,81,Chelsea,West Ham,WHU,CHE,1,0,2.34959,0.388975,True,True,https://understat.com/match/16711,Chelsea
2022-04-24_Liverpool,ENG-Premier League,2122,2022-04-24 Liverpool-Everton,1,2021,16708,2022-04-24,87,72,Liverpool,Everton,EVE,LIV,2,0,1.70397,0.424961,True,True,https://understat.com/match/16708,Liverpool
2022-04-25_Crystal,ENG-Premier League,2122,2022-04-25 Crystal Palace-Leeds,1,2021,16710,2022-04-25,78,245,Crystal Palace,Leeds,LED,CRY,0,0,1.61656,0.374044,True,True,https://understat.com/match/16710,Crystal
2022-04-28_Manchester,ENG-Premier League,2122,2022-04-28 Manchester United-Chelsea,1,2021,16742,2022-04-28,89,80,Manchester United,Chelsea,CHE,MUN,1,1,0.618456,2.46868,True,True,https://understat.com/match/16742,Manchester
2022-04-30_Aston,ENG-Premier League,2122,2022-04-30 Aston Villa-Norwich,1,2021,16725,2022-04-30,71,79,Aston Villa,Norwich,NOR,AVL,2,0,2.31192,0.352212,True,True,https://understat.com/match/16725,Aston
2022-04-30_Leeds,ENG-Premier League,2122,2022-04-30 Leeds-Manchester City,1,2021,16723,2022-04-30,245,88,Leeds,Manchester City,MCI,LED,0,4,1.03608,3.01431,True,True,https://understat.com/match/16723,Leeds
2022-04-30_Newcastle,ENG-Premier League,2122,2022-04-30 Newcastle United-Liverpool,1,2021,16721,2022-04-30,86,87,Newcastle United,Liverpool,LIV,NEW,0,1,0.115353,2.73435,True,True,https://understat.com/match/16721,Newcastle
2022-04-30_Southampton,ENG-Premier League,2122,2022-04-30 Southampton-Crystal Palace,1,2021,16720,2022-04-30,74,78,Southampton,Crystal Palace,CRY,SOU,1,2,0.650256,0.756217,True,True,https://understat.com/match/16720,Southampton
2022-04-30_Watford,ENG-Premier League,2122,2022-04-30 Watford-Burnley,1,2021,16718,2022-04-30,90,92,Watford,Burnley,BUR,WAT,1,2,0.785742,1.37022,True,True,https://understat.com/match/16718,Watford
2022-04-30_Wolverhampton,ENG-Premier League,2122,2022-04-30 Wolverhampton Wanderers-Brighton,1,2021,16716,2022-04-30,229,220,Wolverhampton Wanderers,Brighton,BRI,WOL,0,3,0.525912,2.90679,True,True,https://understat.com/match/16716,Wolverhampton
2022-05-01_Everton,ENG-Premier League,2122,2022-05-01 Everton-Chelsea,1,2021,16724,2022-05-01,72,80,Everton,Chelsea,CHE,EVE,1,0,1.11712,1.21141,True,True,https://understat.com/match/16724,Everton
2022-05-01_Tottenham,ENG-Premier League,2122,2022-05-01 Tottenham-Leicester,1,2021,16719,2022-05-01,82,75,Tottenham,Leicester,LEI,TOT,3,1,1.65338,0.274133,True,True,https://understat.com/match/16719,Tottenham
2022-05-01_West,ENG-Premier League,2122,2022-05-01 West Ham-Arsenal,1,2021,16717,2022-05-01,81,83,West Ham,Arsenal,ARS,WHU,1,2,0.451976,0.964564,True,True,https://understat.com/match/16717,West
2022-05-02_Manchester,ENG-Premier League,2122,2022-05-02 Manchester United-Brentford,1,2021,16722,2022-05-02,89,244,Manchester United,Brentford,BRE,MUN,3,0,1.84111,0.681425,True,True,https://understat.com/match/16722,Manchester
2022-05-07_Brentford,ENG-Premier League,2122,2022-05-07 Brentford-Southampton,1,2021,16734,2022-05-07,244,74,Brentford,Southampton,SOU,BRE,3,0,3.68223,0.988574,True,True,https://understat.com/match/16734,Brentford
