league,season,game,team,player,league_id,season_id,game_id,team_id,player_id,position,position_id,minutes,goals,own_goals,shots,xg,xg_chain,xg_buildup,assists,xa,key_passes,yellow_cards,red_cards
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Everton,Idrissa Gueye,1,2016,463,72,668,MC,9,90,0,0,1,0.015237700194120407,0.13758599758148193,0.13758599758148193,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Everton,James McCarthy,1,2016,463,72,589,MR,8,90,0,0,0,0.0,0.13758599758148193,0.13758599758148193,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Everton,Kevin Mirallas,1,2016,463,72,595,FWL,16,77,0,0,2,0.050412099808454514,0.050412099808454514,0.0,0,0.012821700423955917,1,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Everton,Leighton Baines,1,2016,463,72,588,ML,10,90,0,0,0,0.0,0.17398500442504883,0.03639889881014824,0,0.13758599758148193,1,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Everton,Maarten Stekelenburg,1,2016,463,72,846,GK,1,90,0,0,0,0.0,0.01236329972743988,0.01236329972743988,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Everton,Mason Holgate,1,2016,463,72,985,DC,3,90,0,0,0,0.0,0.13758599758148193,0.13758599758148193,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Everton,Phil Jagielka,1,2016,463,72,587,DC,3,90,0,0,1,0.02930629998445511,0.13758599758148193,0.13758599758148193,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Everton,Ramiro Funes Mori,1,2016,463,72,597,DC,3,90,0,0,1,0.014125799760222435,0.232232004404068,0.2181060016155243,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Everton,Ross Barkley,1,2016,463,72,592,FWR,14,90,1,0,4,0.19697199761867523,0.20631800591945648,0.0,0,0.0757651999592781,3,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Everton,Tom Cleverley,1,2016,463,72,596,Sub,17,4,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Tottenham,Christian Eriksen,1,2016,463,82,646,AML,13,90,0,0,3,0.14531800150871277,0.17250899970531464,0.08581680059432983,0,0.07315699756145477,2,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Tottenham,Danny Rose,1,2016,463,82,641,DL,4,90,0,0,2,0.06505770236253738,0.11984200030565262,0.11984200030565262,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Tottenham,Dele Alli,1,2016,463,82,645,AMC,12,90,0,0,1,0.039559900760650635,0.039559900760650635,0.0,0,0.029841700568795204,1,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Tottenham,Eric Dier,1,2016,463,82,643,DMC,7,57,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Tottenham,Erik Lamela,1,2016,463,82,644,AMR,11,90,1,0,3,0.2250789999961853,0.2250789999961853,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Tottenham,Harry Kane,1,2016,463,82,647,FW,15,90,0,0,0,0.0,0.09853989630937576,0.039559900760650635,0,0.05897999927401543,1,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Tottenham,Hugo Lloris,1,2016,463,82,637,GK,1,34,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ENG-Premier League,1617,2016-08-13 Everton-Tottenham,Tottenham,Jan Vertonghen,1,2016,463,82,640,DC,3,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
