,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Bournemouth,Kieffer Moore,WAL,"FW,MF",30,1992,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Lewis Cook,ENG,MF,26,1997,31.0,61,41,24,30,7,34,63,54.0,29,32,11,21,65,126,46,1
ENG-Premier League,2324,Bournemouth,Lloyd Kelly,ENG,DF,24,1998,17.3,24,19,10,9,5,14,25,56.0,11,22,12,10,13,37,67,0
ENG-Premier League,2324,Bournemouth,Luis Sinisterra,COL,"FW,MF",24,1999,7.8,23,12,9,10,4,9,16,56.3,7,18,0,18,8,31,4,0
ENG-Premier League,2324,Bournemouth,Marcos Senesi,ARG,DF,26,1997,24.9,55,32,28,23,4,24,56,42.9,32,50,23,27,35,90,109,1
ENG-Premier League,2324,Bournemouth,Marcus Tavernier,ENG,FW,24,1999,23.5,53,34,25,22,6,26,48,54.2,22,31,3,28,5,58,23,0
ENG-Premier League,2324,Bournemouth,Mark Travers,IRL,GK,24,1999,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
ENG-Premier League,2324,Bournemouth,Max Aarons,ENG,DF,23,2000,13.7,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0
ENG-Premier League,2324,Bournemouth,Milos Kerkez,HUN,DF,19,2003,21.9,47,26,31,13,3,30,42,71.4,12,31,11,20,20,67,60,2
ENG-Premier League,2324,Bournemouth,Neto,BRA,GK,34,1989,32.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,12,3
ENG-Premier League,2324,Bournemouth,Philip Billing,DEN,MF,27,1996,15.5,33,16,7,22,4,9,27,33.3,18,31,5,26,20,53,28,1
ENG-Premier League,2324,Bournemouth,Romain Faivre,FRA,"MF,FW",25,1998,0.5,1,1,0,1,0,0,3,0.0,3,0,0,0,0,1,0,0
ENG-Premier League,2324,Bournemouth,Ryan Christie,SCO,MF,28,1995,32.3,86,44,34,35,17,39,92,42.4,53,52,11,41,52,138,53,1
ENG-Premier League,2324,Bournemouth,Tyler Adams,USA,MF,24,1999,1.3,4,3,1,3,0,2,3,66.7,1,2,0,2,4,8,2,0
ENG-Premier League,2324,Brentford,Aaron Hickey,SCO,DF,21,2002,7.9,16,9,9,3,4,7,7,100.0,0,7,3,4,3,19,10,0
ENG-Premier League,2324,Brentford,Ben Mee,ENG,DF,33,1989,14.1,26,15,12,12,2,17,22,77.3,5,21,13,8,13,39,63,1
ENG-Premier League,2324,Brentford,Bryan Mbeumo,CMR,FW,23,1999,21.8,15,10,6,6,3,5,19,26.3,14,26,2,24,7,22,13,0
ENG-Premier League,2324,Brentford,Christian Nørgaard,DEN,MF,29,1994,27.8,81,50,42,31,8,32,87,36.8,55,48,6,42,54,135,50,0
ENG-Premier League,2324,Brentford,Ethan Pinnock,JAM,DF,30,1993,28.0,35,23,22,13,0,9,20,45.0,11,40,24,16,43,78,170,3
ENG-Premier League,2324,Brentford,Frank Onyeka,NGA,MF,25,1998,12.9,37,24,9,23,5,16,29,55.2,13,15,7,8,23,60,17,0
ENG-Premier League,2324,Brentford,Ivan Toney,ENG,FW,27,1996,16.1,15,5,2,7,6,6,14,42.9,8,5,1,4,10,25,18,0
ENG-Premier League,2324,Brentford,Josh Dasilva,ENG,"DF,FW",24,1998,0.3,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0
ENG-Premier League,2324,Brentford,Keane Lewis-Potter,ENG,"FW,DF",22,2001,16.0,17,7,5,11,1,7,15,46.7,8,10,2,8,7,24,23,0
ENG-Premier League,2324,Brentford,Kevin Schade,GER,"FW,MF",21,2001,3.7,3,1,1,2,0,0,5,0.0,5,2,0,2,1,4,4,0
ENG-Premier League,2324,Brentford,Kristoffer Ajer,NOR,DF,25,1998,20.4,38,21,25,9,4,23,36,63.9,13,26,11,15,25,63,79,1
ENG-Premier League,2324,Brentford,Mads Roerslev,DEN,DF,24,1999,22.1,48,31,34,9,5,27,54,50.0,27,15,3,12,19,67,71,0
ENG-Premier League,2324,Brentford,Mark Flekken,NED,GK,30,1993,36.5,1,1,1,0,0,1,5,20.0,4,1,0,1,0,1,17,1
ENG-Premier League,2324,Brentford,Mathias Jensen,DEN,MF,27,1996,24.5,54,32,25,22,7,26,95,27.4,69,41,6,35,23,77,25,1
ENG-Premier League,2324,Brentford,Mathias Jørgensen,DEN,DF,33,1990,12.1,17,12,15,1,1,11,19,57.9,8,9,5,4,12,29,40,0
ENG-Premier League,2324,Brentford,Michael Olakigbe,ENG,"DF,FW",19,2004,0.7,3,0,2,1,0,2,4,50.0,2,7,0,7,1,4,0,1
ENG-Premier League,2324,Brentford,Mikkel Damsgaard,DEN,MF,23,2000,9.4,29,17,13,9,7,14,40,35.0,26,23,1,22,11,40,10,1
ENG-Premier League,2324,Brentford,Myles Peart-Harris,ENG,"DF,MF",20,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
