join_key,match_id,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,season,Match,home_team_shortened,referee,matchday
2024-03-02_Fulham,22158,2024-03-02,Fulham,Brighton,3,0,1.37604,1.15198,2023,Fulham v Brighton,Fulham,Simon Hooper,27
2024-03-02_Newcastle,22161,2024-03-02,Newcastle United,Wolverhampton Wanderers,3,0,3.33495,0.507769,2023,Newcastle United v Wolverhampton Wanderers,Newcastle,Tim Robinson,27
2024-03-02_Nottingham,22162,2024-03-02,Nottingham Forest,Liverpool,0,1,0.971466,1.32259,2023,Nottingham Forest v Liverpool,Nottingham,Paul Tierney,27
2024-03-02_Tottenham,22164,2024-03-02,Tottenham,Crystal Palace,3,1,2.6625,0.277887,2023,Tottenham v Crystal Palace,Tottenham,John Brooks,27
2024-03-02_Luton,22159,2024-03-02,Luton,Aston Villa,2,3,2.43312,2.08586,2023,Luton v Aston Villa,Luton,Michael Oliver,27
2024-03-03_Burnley,22156,2024-03-03,Burnley,Bournemouth,0,2,1.60461,1.43616,2023,Burnley v Bournemouth,Burnley,David Coote,27
2024-03-03_Manchester,22160,2024-03-03,Manchester City,Manchester United,3,1,2.64173,0.153764,2023,Manchester City v Manchester United,Manchester,Andy Madley,27
2024-03-04_Sheffield,22163,2024-03-04,Sheffield United,Arsenal,0,6,0.201374,2.47294,2023,Sheffield United v Arsenal,Sheffield,Sam Barrott,27
2024-03-09_Manchester,22172,2024-03-09,Manchester United,Everton,2,0,2.9016,1.8214,2023,Manchester United v Everton,Manchester,Simon Hooper,28
2024-03-09_Bournemouth,22165,2024-03-09,Bournemouth,Sheffield United,2,2,3.92657,1.91752,2023,Bournemouth v Sheffield United,Bournemouth,Anthony Taylor,28
2024-03-09_Crystal,22170,2024-03-09,Crystal Palace,Luton,1,1,3.25103,1.08531,2023,Crystal Palace v Luton,Crystal,Sunny Gill,28
2024-03-09_Wolverhampton,22174,2024-03-09,Wolverhampton Wanderers,Fulham,2,1,1.29589,2.94155,2023,Wolverhampton Wanderers v Fulham,Wolverhampton,Tony Harrington,28
2024-03-09_Arsenal,22166,2024-03-09,Arsenal,Brentford,2,1,1.59369,0.733239,2023,Arsenal v Brentford,Arsenal,Robert Jones,28
2024-03-10_Aston,22167,2024-03-10,Aston Villa,Tottenham,0,4,1.23267,2.25381,2023,Aston Villa v Tottenham,Aston,Chris Kavanagh,28
2024-03-10_Brighton,22168,2024-03-10,Brighton,Nottingham Forest,1,0,0.534518,0.687034,2023,Brighton v Nottingham Forest,Brighton,Michael Salisbury,28
2024-03-10_West,22173,2024-03-10,West Ham,Burnley,2,2,1.87414,0.88131,2023,West Ham v Burnley,West,Darren England,28
2024-03-10_Liverpool,22171,2024-03-10,Liverpool,Manchester City,1,1,2.25492,1.37289,2023,Liverpool v Manchester City,Liverpool,Michael Oliver,28
2024-03-11_Chelsea,22169,2024-03-11,Chelsea,Newcastle United,3,2,1.78315,0.568435,2023,Chelsea v Newcastle United,Chelsea,John Brooks,28
2024-03-13_Bournemouth,25861,2024-03-13,Bournemouth,Luton,4,3,2.84403,2.79419,2023,Bournemouth v Luton,Bournemouth,Samuel Allison,17
2024-03-16_Burnley,22177,2024-03-16,Burnley,Brentford,2,1,2.69776,1.25123,2023,Burnley v Brentford,Burnley,Darren Bond,29
2024-03-16_Luton,22181,2024-03-16,Luton,Nottingham Forest,1,1,0.853782,1.95268,2023,Luton v Nottingham Forest,Luton,Darren England,29
2024-03-16_Fulham,22180,2024-03-16,Fulham,Tottenham,3,0,2.47234,2.14564,2023,Fulham v Tottenham,Fulham,Robert Jones,29
2024-03-17_West,22183,2024-03-17,West Ham,Aston Villa,1,1,1.32829,0.911274,2023,West Ham v Aston Villa,West,Jarred Gillett,29
2024-03-30_Newcastle,22191,2024-03-30,Newcastle United,West Ham,4,3,3.80922,0.994584,2023,Newcastle United v West Ham,Newcastle,Robert Jones,30
2024-03-30_Bournemouth,22185,2024-03-30,Bournemouth,Everton,2,1,1.39268,0.93378,2023,Bournemouth v Everton,Bournemouth,Sam Barrott,30
2024-03-30_Chelsea,22188,2024-03-30,Chelsea,Burnley,2,2,4.46643,2.10422,2023,Chelsea v Burnley,Chelsea,Darren England,30
2024-03-30_Nottingham,22192,2024-03-30,Nottingham Forest,Crystal Palace,1,1,0.784652,0.900972,2023,Nottingham Forest v Crystal Palace,Nottingham,Chris Kavanagh,30
2024-03-30_Sheffield,22193,2024-03-30,Sheffield United,Fulham,3,3,1.78824,1.10254,2023,Sheffield United v Fulham,Sheffield,Tim Robinson,30
2024-03-30_Tottenham,22194,2024-03-30,Tottenham,Luton,2,1,2.46523,0.402402,2023,Tottenham v Luton,Tottenham,Jarred Gillett,30
2024-03-30_Aston,22186,2024-03-30,Aston Villa,Wolverhampton Wanderers,2,0,1.28271,1.66232,2023,Aston Villa v Wolverhampton Wanderers,Aston,Paul Tierney,30
2024-03-30_Brentford,22187,2024-03-30,Brentford,Manchester United,1,1,3.16487,0.989565,2023,Brentford v Manchester United,Brentford,Simon Hooper,30
2024-03-31_Liverpool,22189,2024-03-31,Liverpool,Brighton,2,1,3.21149,0.43922,2023,Liverpool v Brighton,Liverpool,David Coote,30
2024-03-31_Manchester,22190,2024-03-31,Manchester City,Arsenal,0,0,1.22009,0.511402,2023,Manchester City v Arsenal,Manchester,Anthony Taylor,30
2024-04-02_Nottingham,22198,2024-04-02,Nottingham Forest,Fulham,3,1,1.94619,1.04304,2023,Nottingham Forest v Fulham,Nottingham,Michael Oliver,31
2024-04-02_Newcastle,22202,2024-04-02,Newcastle United,Everton,1,1,2.65009,1.69834,2023,Newcastle United v Everton,Newcastle,Tony Harrington,31
2024-04-02_Bournemouth,22195,2024-04-02,Bournemouth,Crystal Palace,1,0,1.30969,0.174389,2023,Bournemouth v Crystal Palace,Bournemouth,Graham Scott,31
2024-04-02_Burnley,22197,2024-04-02,Burnley,Wolverhampton Wanderers,1,1,1.12581,1.01021,2023,Burnley v Wolverhampton Wanderers,Burnley,Thomas Bramall,31
2024-04-02_West,22199,2024-04-02,West Ham,Tottenham,1,1,1.47017,1.39423,2023,West Ham v Tottenham,West,John Brooks,31
2024-04-03_Arsenal,22196,2024-04-03,Arsenal,Luton,2,0,1.14384,0.292082,2023,Arsenal v Luton,Arsenal,Craig Pawson,31
2024-04-03_Brentford,22200,2024-04-03,Brentford,Brighton,0,0,0.423299,1.22404,2023,Brentford v Brighton,Brentford,Bobby Madley,31
2024-04-03_Manchester,22204,2024-04-03,Manchester City,Aston Villa,4,1,3.87704,1.18643,2023,Manchester City v Aston Villa,Manchester,Darren England,31
2024-04-04_Liverpool,22203,2024-04-04,Liverpool,Sheffield United,3,1,2.51772,0.720948,2023,Liverpool v Sheffield United,Liverpool,Stuart Attwell,31
2024-04-04_Chelsea,22201,2024-04-04,Chelsea,Manchester United,4,3,3.48048,1.56686,2023,Chelsea v Manchester United,Chelsea,Jarred Gillett,31
2024-04-06_Crystal,22207,2024-04-06,Crystal Palace,Manchester City,2,4,1.49472,2.26381,2023,Crystal Palace v Manchester City,Crystal,Paul Tierney,32
2024-04-06_Aston,22205,2024-04-06,Aston Villa,Brentford,3,3,1.16333,1.42064,2023,Aston Villa v Brentford,Aston,Michael Salisbury,32
2024-04-06_Everton,22208,2024-04-06,Everton,Burnley,1,0,0.659844,0.34699,2023,Everton v Burnley,Everton,Michael Oliver,32
2024-04-06_Fulham,22209,2024-04-06,Fulham,Newcastle United,0,1,0.834564,1.18012,2023,Fulham v Newcastle United,Fulham,Samuel Allison,32
2024-04-06_Luton,22210,2024-04-06,Luton,Bournemouth,2,1,1.30478,0.616108,2023,Luton v Bournemouth,Luton,Andy Madley,32
2024-04-06_Wolverhampton,22214,2024-04-06,Wolverhampton Wanderers,West Ham,1,2,1.78341,1.14133,2023,Wolverhampton Wanderers v West Ham,Wolverhampton,Tony Harrington,32
2024-04-06_Brighton,22206,2024-04-06,Brighton,Arsenal,0,3,0.428514,4.16518,2023,Brighton v Arsenal,Brighton,John Brooks,32
2024-04-07_Manchester,22211,2024-04-07,Manchester United,Liverpool,2,2,0.814509,4.43457,2023,Manchester United v Liverpool,Manchester,Anthony Taylor,32
2024-04-07_Sheffield,22212,2024-04-07,Sheffield United,Chelsea,2,2,1.74265,0.521789,2023,Sheffield United v Chelsea,Sheffield,Robert Jones,32
2024-04-07_Tottenham,22213,2024-04-07,Tottenham,Nottingham Forest,3,1,1.61978,2.00122,2023,Tottenham v Nottingham Forest,Tottenham,Simon Hooper,32
2024-04-13_Newcastle,22222,2024-04-13,Newcastle United,Tottenham,4,0,3.1483,0.737596,2023,Newcastle United v Tottenham,Newcastle,Tim Robinson,33
2024-04-13_Brentford,22217,2024-04-13,Brentford,Sheffield United,2,0,1.09071,0.834498,2023,Brentford v Sheffield United,Brentford,Sam Barrott,33
2024-04-13_Burnley,22218,2024-04-13,Burnley,Brighton,1,1,1.8522,0.889445,2023,Burnley v Brighton,Burnley,Simon Hooper,33
2024-04-13_Manchester,22221,2024-04-13,Manchester City,Luton,5,1,4.64245,0.809775,2023,Manchester City v Luton,Manchester,John Brooks,33
2024-04-13_Nottingham,22223,2024-04-13,Nottingham Forest,Wolverhampton Wanderers,2,2,1.76244,1.45688,2023,Nottingham Forest v Wolverhampton Wanderers,Nottingham,Craig Pawson,33
2024-04-13_Bournemouth,22215,2024-04-13,Bournemouth,Manchester United,2,2,2.38519,1.52274,2023,Bournemouth v Manchester United,Bournemouth,Tony Harrington,33
2024-04-14_Liverpool,22220,2024-04-14,Liverpool,Crystal Palace,0,1,3.04497,2.12879,2023,Liverpool v Crystal Palace,Liverpool,Chris Kavanagh,33
