League,season_id,Team,Player,Season,position,Matches,Minutes,Goals,xG,Non-Penalty Goals,Non-Penalty xG,Assists,xA,Shots,Key Passes,Yellow Cards,Red Cards,xg_chain,xg_buildup
Premier League,2526,Chelsea,Josh Acheampong,2025,D S,5,355,1,0.6539264097809792,1,0.6539264097809792,0,0.0,3,0,0,0,1.2097871787846088,1.2097871787846088
Premier League,2526,Chelsea,João Pedro,2025,F M,10,860,3,3.351896919310093,3,3.351896919310093,3,2.5500075798481703,16,12,0,0,4.800742458552122,0.8679701667279005
Premier League,2526,Chelsea,Liam Delap,2025,F S,3,95,0,0.23423967137932777,0,0.23423967137932777,0,0.0,3,0,0,0,1.8049246519804,1.5706849694252014
Premier League,2526,Chelsea,Malo Gusto,2025,D M S,8,474,0,0.057705553248524666,0,0.057705553248524666,1,0.9486548863351345,3,6,0,1,4.80961486697197,4.202191077172756
Premier League,2526,Chelsea,Marc Cucurella,2025,D S,10,822,0,0.2846787255257368,0,0.2846787255257368,2,1.9767956752330065,7,14,2,0,4.017999105155468,3.4229882284998894
Premier League,2526,Chelsea,Marc Guiu,2025,F S,5,143,0,0.9547708854079247,0,0.9547708854079247,0,0.0,7,0,0,0,0.8448273167014122,0.0
Premier League,2526,Chelsea,Moisés Caicedo,2025,M S,10,853,3,0.8330750595778227,3,0.8330750595778227,1,0.683237487450242,10,5,1,0,5.172351503744721,4.402537668123841
Premier League,2526,Chelsea,Pedro Neto,2025,F M,10,781,2,1.1632022932171822,2,1.1632022932171822,2,1.7883186433464289,14,15,0,0,4.090191103518009,2.0411098208278418
Premier League,2526,Chelsea,Reece James,2025,D M S,10,681,1,0.7137596812099218,1,0.7137596812099218,2,2.2439171001315117,9,13,2,0,4.23012937232852,2.8086490891873837
Premier League,2526,Chelsea,Robert Sánchez,2025,GK,10,814,0,0.0,0,0.0,0,0.19104263186454773,0,2,2,1,4.199294054880738,4.008251408115029
Premier League,2526,Chelsea,Romeo Lavia,2025,M S,4,96,0,0.0,0,0.0,0,0.0,0,0,0,0,1.4775371849536896,1.4775371849536896
Premier League,2526,Chelsea,Tosin Adarabioyo,2025,D S,7,374,0,0.03566968813538551,0,0.03566968813538551,0,0.0,1,0,1,0,1.7039565071463585,1.7039565071463585
Premier League,2526,Chelsea,Trevoh Chalobah,2025,D,9,760,2,1.186815494671464,2,1.186815494671464,0,0.12196670472621918,9,2,2,1,3.061653845012188,2.945250265300274
Premier League,2526,Chelsea,Tyrique George,2025,S,4,138,0,0.5434353575110435,0,0.5434353575110435,0,0.0,3,0,2,0,0.2622702568769455,0.17554336227476597
Premier League,2526,Chelsea,Wesley Fofana,2025,D S,4,226,0,0.0,0,0.0,0,0.0,0,0,0,0,0.668259009718895,0.668259009718895
Premier League,2526,Crystal Palace,Adam Wharton,2025,M,8,652,0,0.1374069033190608,0,0.1374069033190608,0,2.2419900875538588,5,14,1,0,2.9235844761133194,2.028981402516365
Premier League,2526,Crystal Palace,Borna Sosa,2025,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
Premier League,2526,Crystal Palace,Chris Richards,2025,D,10,900,0,0.18632581643760204,0,0.18632581643760204,0,0.24868161976337433,4,3,0,0,1.5557928448542953,1.4178873440250754
Premier League,2526,Crystal Palace,Christantus Uche,2025,S,3,4,0,0.06011005491018295,0,0.06011005491018295,0,0.0,1,0,0,0,0.0,0.0
Premier League,2526,Crystal Palace,Daichi Kamada,2025,M,8,688,0,0.309333149343729,0,0.309333149343729,0,0.5366126503795385,7,6,0,0,2.67327284719795,2.014075723476708
Premier League,2526,Crystal Palace,Daniel Muñoz,2025,D,10,900,1,0.958005528897047,1,0.958005528897047,2,2.2628692388534546,11,6,3,0,4.3704709289595485,1.200252522714436
Premier League,2526,Crystal Palace,Dean Henderson,2025,GK,10,900,0,0.0,0,0.0,0,0.015475641936063766,0,1,1,0,1.102002952247858,1.102002952247858
Premier League,2526,Crystal Palace,Eddie Nketiah,2025,S,5,90,1,0.9629506766796112,1,0.9629506766796112,0,0.8395494157448411,5,4,1,0,1.8310335213318467,0.11832206789404154
